Farm_ID,Region_Type,Crop,Days_To_Detect_Disease,Expert_Access,AI_Advice_Used,Advice_Validated_By_Expert,Disease_Severity_Score,Advisory_Gap_Score,Wrong_Decision
74,Semi_Remote,Cotton,11,0,0,0,22.56813844,22.80774541,0
75,Urban_Near,Cotton,10,0,0,1,9.683452791,25.32938777,0
76,Remote,Wheat,18,0,0,0,34.949755,57.16239594,0
77,Remote,Wheat,2,1,1,0,6.523648061,32.43977609,1
78,Urban_Near,Wheat,12,0,0,1,20.60147604,24.20314066,0
79,Urban_Near,Cotton,5,1,1,0,11.6840105,0,1
80,Semi_Remote,Rice,2,0,0,1,3.28344835,27.35185729,0
81,Urban_Near,Cotton,10,0,1,1,13.92806651,30.20266714,0
82,Urban_Near,Maize,15,1,0,0,21.55174254,1.556243685,0
83,Urban_Near,Cotton,3,0,0,0,14.33360578,24.90928814,0
84,Urban_Near,Pulses,10,0,0,0,16.64260298,32.67181027,0
85,Remote,Pulses,12,1,0,1,30.09912246,33.63490366,0
86,Remote,Maize,23,0,0,0,47.06224245,56.74373733,0
87,Remote,Cotton,2,0,1,0,8.714264598,57.21938186,1
88,Semi_Remote,Pulses,3,1,0,0,0.458078722,8.043564389,0
89,Remote,Maize,18,1,1,1,31.41926878,31.21112419,0
90,Semi_Remote,Cotton,6,0,0,0,15.00196165,24.50417123,0
91,Urban_Near,Wheat,16,1,0,1,33.83722591,12.12258376,0
92,Urban_Near,Rice,7,1,0,0,18.81235992,3.703910248,0
93,Semi_Remote,Pulses,19,0,0,0,42.40547816,20.38919366,0
94,Urban_Near,Maize,15,0,0,1,30.32611909,16.7538539,0
95,Remote,Maize,23,1,0,0,42.56268092,33.54977831,0
96,Remote,Rice,18,0,0,0,31.1854223,65.78956939,0
97,Semi_Remote,Wheat,23,0,0,0,53.12943066,29.66811201,0
98,Remote,Pulses,17,0,0,0,37.33023351,57.26600649,0
99,Semi_Remote,Maize,17,1,0,0,39.41550993,0,0
100,Urban_Near,Maize,6,1,1,0,7.43007267,0,1
101,Semi_Remote,Maize,18,0,0,1,31.85945569,21.9630059,0
102,Remote,Cotton,8,1,0,0,17.02049688,29.3012794,0
103,Semi_Remote,Pulses,21,1,0,0,44.68607285,0,0
104,Urban_Near,Cotton,3,1,0,0,7.614542274,3.691780625,0
105,Urban_Near,Rice,23,0,0,1,44.59568808,15.79328499,0
106,Semi_Remote,Maize,5,0,0,1,1.69819043,23.90666427,0
107,Semi_Remote,Maize,15,0,0,1,29.25635008,25.75808082,0
108,Semi_Remote,Rice,2,1,0,0,3.698482349,0,0
109,Remote,Maize,8,0,1,1,18.48623451,58.03772681,0
110,Urban_Near,Rice,20,0,0,0,41.28851237,20.85915525,0
111,Urban_Near,Maize,1,1,0,0,10.01117722,1.377507728,0
112,Remote,Rice,18,1,1,0,36.33536232,27.8972146,1
113,Remote,Cotton,23,0,0,0,35.83963446,54.88967867,0
114,Remote,Rice,11,0,1,0,19.65282382,51.89992012,1
115,Urban_Near,Cotton,17,0,1,0,31.1340076,18.05264243,1
116,Remote,Wheat,10,0,0,0,23.41070149,57.28601136,0
117,Urban_Near,Cotton,1,0,0,1,5.910595358,23.64218063,0
118,Remote,Cotton,24,1,1,0,46.2037291,28.74090423,1
119,Remote,Wheat,20,0,1,0,47.98522828,50.07550632,1
120,Remote,Rice,12,0,1,0,26.49526368,52.77420392,1
121,Urban_Near,Wheat,20,0,0,1,34.28862888,33.32496439,0
122,Semi_Remote,Rice,19,0,1,0,34.96796134,22.4958471,1
123,Semi_Remote,Maize,13,0,0,0,29.46467517,27.12020612,0
124,Remote,Maize,19,0,0,0,34.52521471,56.95966783,0
125,Remote,Rice,1,0,0,0,3.005565124,54.79369456,0
126,Semi_Remote,Maize,13,1,0,0,30.75453728,0,0
127,Semi_Remote,Cotton,14,0,1,0,28.53399854,24.14014471,1
128,Semi_Remote,Cotton,22,1,1,1,47.9570219,8.892894335,0
129,Remote,Wheat,17,1,0,0,32.72020152,32.21345511,0
130,Urban_Near,Maize,15,0,1,1,25.38496229,22.43246019,0
131,Semi_Remote,Rice,19,0,0,1,39.76250268,20.96974127,0
132,Urban_Near,Rice,16,0,0,1,27.13557799,22.41959361,0
133,Urban_Near,Maize,11,1,1,1,23.84818892,2.857664161,0
134,Remote,Pulses,20,0,0,1,43.5131995,50.46502597,0
135,Semi_Remote,Cotton,11,1,0,0,19.89697851,0,0
136,Semi_Remote,Wheat,16,1,1,0,31.85792048,0,1
137,Semi_Remote,Pulses,22,0,0,1,44.6711667,30.67425291,0
138,Urban_Near,Rice,13,0,0,1,29.25094133,13.44570139,0
139,Urban_Near,Cotton,12,1,1,1,37.25718177,5.448856196,0
140,Semi_Remote,Cotton,1,0,0,0,9.391004772,22.38689683,0
141,Remote,Pulses,1,0,0,0,0,57.89911212,0
142,Urban_Near,Pulses,8,1,0,0,18.96927917,0,0
143,Semi_Remote,Rice,17,0,0,0,32.55954747,31.99164804,0
144,Semi_Remote,Pulses,15,1,1,0,34.65448347,1.899004527,1
145,Semi_Remote,Cotton,6,1,0,1,13.37578282,5.936982734,0
146,Remote,Cotton,8,0,0,0,20.01102058,56.5582034,0
147,Urban_Near,Maize,15,0,0,0,31.87705412,39.41810345,0
148,Urban_Near,Wheat,20,0,1,0,32.74791031,24.81782241,1
149,Semi_Remote,Maize,18,0,0,0,41.17187832,25.88788231,0
150,Urban_Near,Maize,17,1,1,0,25.03733499,3.136653621,1
151,Urban_Near,Rice,3,0,1,0,10.37767992,30.09822036,1
152,Semi_Remote,Maize,23,0,0,0,42.20666907,27.19601295,0
153,Urban_Near,Wheat,18,0,0,0,40.43537741,23.98461296,0
154,Semi_Remote,Rice,2,1,0,0,8.665885323,1.61713321,0
155,Remote,Rice,15,0,0,0,30.80983675,50.97390111,0
156,Semi_Remote,Cotton,3,1,0,0,0,1.719222803,0
157,Remote,Pulses,19,0,0,0,42.79552416,55.9154133,0
158,Remote,Rice,16,0,0,0,22.77010175,52.1003925,0
159,Urban_Near,Cotton,10,0,0,0,14.33449209,30.20074506,0
160,Urban_Near,Cotton,24,0,0,0,48.44798221,24.86629274,0
161,Semi_Remote,Cotton,17,1,0,0,34.27339881,4.962274441,0
162,Semi_Remote,Rice,5,0,0,0,16.01090965,23.16477045,0
163,Urban_Near,Rice,14,0,1,1,25.16924917,21.25050396,0
164,Semi_Remote,Maize,13,1,0,0,25.85940183,5.648193503,0
165,Semi_Remote,Pulses,5,0,0,0,8.516988544,29.82774955,0
166,Semi_Remote,Rice,17,0,1,0,38.13130494,19.8897301,1
167,Urban_Near,Cotton,6,0,0,1,4.895958643,26.99262967,0
168,Urban_Near,Pulses,21,1,1,0,44.23095631,7.199098717,1
169,Remote,Maize,8,0,0,1,16.25754804,56.5773259,0
170,Semi_Remote,Cotton,14,0,1,0,28.67509918,23.08187822,1
171,Semi_Remote,Wheat,2,1,0,0,0,7.274066254,0
172,Remote,Wheat,1,1,0,0,0,36.55688394,0
173,Urban_Near,Cotton,16,0,1,1,31.83159644,13.16816436,0
174,Remote,Wheat,14,0,0,0,31.28497489,59.21756006,0
175,Urban_Near,Wheat,12,1,0,1,28.14841498,0.576043081,0
176,Remote,Maize,8,0,0,0,23.38344007,61.7737663,0
177,Remote,Pulses,12,1,0,1,11.67175014,30.55702255,0
178,Semi_Remote,Rice,2,0,0,0,11.96031208,33.33655905,0
179,Semi_Remote,Wheat,6,1,1,1,14.89919189,1.257846537,0
180,Semi_Remote,Cotton,23,0,0,0,40.61818429,23.49194314,0
181,Semi_Remote,Rice,21,0,0,0,41.25780996,38.91462055,0
182,Semi_Remote,Maize,1,1,0,0,5.028738969,0.680029842,0
183,Remote,Maize,7,0,0,1,27.62756014,65.15911312,0
184,Urban_Near,Pulses,20,1,1,0,42.75311244,0,1
185,Urban_Near,Wheat,19,0,0,0,37.14581985,28.72751415,0
186,Semi_Remote,Rice,17,0,0,1,35.41961557,25.20633914,0
187,Semi_Remote,Rice,2,0,0,0,0,23.15660385,0
188,Remote,Cotton,13,0,0,0,31.54583461,57.00351594,0
189,Semi_Remote,Rice,11,1,0,1,32.10689202,0,0
190,Semi_Remote,Maize,11,1,0,1,23.44027718,5.350550965,0
191,Remote,Wheat,17,0,1,0,27.74346984,55.43103408,1
192,Urban_Near,Wheat,9,1,0,0,16.05192835,2.057781,0
193,Semi_Remote,Maize,3,1,0,0,9.934735519,3.912970136,0
194,Remote,Maize,8,1,0,1,10.13191248,27.21147357,0
195,Remote,Rice,18,1,0,0,39.0151872,25.89806499,0
196,Remote,Cotton,16,0,1,1,27.42550697,55.52438473,0
197,Urban_Near,Wheat,14,1,1,0,33.58544928,0,1
198,Remote,Maize,7,0,1,0,16.72471108,54.79199939,1
199,Urban_Near,Maize,21,0,1,0,42.7395937,24.21996222,1
200,Urban_Near,Cotton,23,0,0,0,48.80389395,22.54360892,0
201,Semi_Remote,Cotton,9,0,0,0,20.61477696,22.68129009,0
202,Urban_Near,Cotton,18,0,1,0,38.38957711,22.70259708,1
203,Semi_Remote,Pulses,8,0,1,0,5.974330106,33.35535288,1
204,Urban_Near,Wheat,11,0,0,0,27.84802918,25.86061734,0
205,Remote,Wheat,10,1,0,1,17.40093498,31.64720066,0
206,Remote,Rice,6,0,1,0,17.36247032,49.86586096,1
207,Remote,Wheat,9,1,0,0,12.51716965,27.17899658,0
208,Urban_Near,Rice,7,1,0,1,23.81990528,0,0
209,Semi_Remote,Maize,18,0,1,0,34.7537732,30.33697982,1
210,Urban_Near,Cotton,15,0,1,0,28.14056828,27.27618249,1
211,Remote,Maize,1,1,0,0,2.915363543,23.83331375,0
212,Urban_Near,Pulses,24,0,0,0,46.13583527,21.77451007,0
213,Urban_Near,Wheat,1,1,1,0,7.166752149,0.825694972,1
214,Urban_Near,Cotton,8,0,0,0,10.20472316,20.27202956,0
215,Urban_Near,Rice,1,0,1,1,7.065689543,25.23378519,0
216,Semi_Remote,Pulses,4,1,1,0,13.72594782,2.533355079,1
217,Remote,Pulses,17,0,0,0,34.49371636,55.69837446,0
218,Urban_Near,Pulses,21,1,0,1,49.76486048,0.342293818,0
219,Remote,Cotton,1,0,1,1,5.470227038,53.11066331,0
220,Urban_Near,Wheat,9,1,1,0,19.85608936,7.232348116,1
221,Semi_Remote,Wheat,23,1,0,0,44.39962945,0.270180249,0
222,Semi_Remote,Maize,3,1,0,0,3.187701183,3.649276274,0
223,Urban_Near,Cotton,7,1,0,0,17.35925409,0,0
224,Semi_Remote,Wheat,3,1,0,0,6.757183998,0,0
225,Remote,Wheat,17,1,0,0,32.31295471,27.79286811,0
226,Urban_Near,Rice,18,0,0,0,30.83899015,17.37237514,0
227,Urban_Near,Pulses,14,0,1,1,30.7007965,18.59983767,0
228,Urban_Near,Rice,14,1,0,1,18.77996521,7.503052193,0
229,Semi_Remote,Pulses,23,1,0,0,39.99737404,0,0
230,Urban_Near,Maize,5,0,0,1,14.5884277,27.79132858,0
231,Semi_Remote,Maize,16,1,0,0,43.49727303,1.559316486,0
232,Semi_Remote,Maize,21,1,1,1,41.17484049,0,0
233,Semi_Remote,Pulses,18,0,0,0,24.94836537,24.02449969,0
234,Remote,Wheat,8,0,0,0,14.70914663,57.53231979,0
235,Remote,Cotton,23,0,0,0,48.82239382,49.37405124,0
236,Urban_Near,Wheat,19,0,1,0,34.93807108,22.55764093,1
237,Urban_Near,Cotton,24,0,1,0,45.26394372,29.55988099,1
238,Urban_Near,Wheat,15,0,0,0,29.30165111,24.54448433,0
239,Remote,Pulses,17,1,1,0,28.39454206,31.24051452,1
240,Remote,Maize,18,1,0,0,34.07546261,31.58605477,0
241,Urban_Near,Pulses,8,0,0,0,12.945925,24.56637312,0
242,Remote,Rice,8,1,0,1,23.77270279,28.40259976,0
243,Remote,Rice,19,0,1,0,29.10132165,58.87858673,1
244,Remote,Maize,4,0,0,0,6.506297517,52.67083715,0
245,Semi_Remote,Cotton,17,0,0,1,36.7025176,23.80807881,0
246,Semi_Remote,Rice,1,1,0,0,14.10405826,0,0
247,Semi_Remote,Cotton,22,1,0,0,32.87345644,0,0
248,Urban_Near,Cotton,10,1,0,1,27.00507505,0,0
249,Semi_Remote,Cotton,14,1,0,0,19.90787957,4.083697543,0
250,Remote,Rice,17,0,0,0,29.70209255,55.32222684,0
251,Urban_Near,Cotton,10,1,0,0,20.87615032,10.31277641,0
252,Semi_Remote,Maize,2,1,0,0,7.975700409,0,0
253,Urban_Near,Rice,21,0,0,0,40.4016308,22.752121,0
254,Remote,Pulses,17,1,0,1,41.0813664,27.88450386,0
255,Semi_Remote,Pulses,16,0,0,1,26.90918305,30.60846205,0
256,Semi_Remote,Wheat,15,0,1,0,28.18853888,21.64370532,1
257,Semi_Remote,Rice,11,0,0,0,37.11752721,35.05634863,0
258,Remote,Rice,4,0,0,1,2.716581447,50.48548734,0
259,Remote,Pulses,3,1,0,1,2.410385737,20.08476677,0
260,Urban_Near,Cotton,20,0,0,0,36.13576928,19.38788174,0
261,Urban_Near,Pulses,6,0,0,1,17.2084525,27.06610126,0
262,Urban_Near,Rice,14,0,0,1,26.28903436,22.56102082,0
263,Semi_Remote,Maize,3,0,0,0,8.936488621,15.15502143,0
264,Remote,Wheat,1,1,0,0,5.178882057,27.88670346,0
265,Remote,Pulses,9,1,1,0,23.06967787,30.8143337,1
266,Urban_Near,Maize,7,1,0,0,14.39274781,0,0
267,Urban_Near,Pulses,12,1,0,1,31.53942649,9.439638172,0
268,Semi_Remote,Wheat,23,0,0,1,44.82576738,32.77706331,0
269,Urban_Near,Maize,1,0,0,0,2.919871072,26.58390623,0
270,Urban_Near,Cotton,22,1,0,0,43.94522409,0,0
271,Remote,Cotton,12,0,0,0,21.13625891,59.41007637,0
272,Semi_Remote,Maize,2,0,0,0,8.189090561,17.29850841,0
273,Remote,Wheat,15,0,0,0,27.87877218,52.62444249,0
274,Urban_Near,Wheat,19,1,1,0,38.72714157,0,1
275,Semi_Remote,Cotton,24,1,1,0,45.28406927,0,1
276,Remote,Wheat,4,0,0,0,12.91247298,56.47496588,0
277,Urban_Near,Maize,11,0,0,0,23.10414859,28.21625392,0
278,Urban_Near,Wheat,3,1,1,0,0,5.378420493,1
279,Urban_Near,Wheat,18,1,1,0,28.86958768,0,1
280,Urban_Near,Maize,7,1,1,0,22.61391872,1.98367509,1
281,Semi_Remote,Rice,11,1,0,1,27.9681443,0,0
282,Remote,Rice,15,0,0,0,31.33293525,55.43350331,0
283,Urban_Near,Pulses,22,1,0,0,46.64571065,0,0
284,Semi_Remote,Maize,15,0,1,0,20.67310188,17.73391055,1
285,Remote,Wheat,15,1,1,0,20.69998441,32.45754416,1
286,Semi_Remote,Rice,8,0,1,0,18.74553757,27.31819734,1
287,Remote,Cotton,11,0,0,1,13.10491778,56.51356361,0
288,Remote,Pulses,14,0,0,0,27.55876421,51.37787945,0
289,Semi_Remote,Cotton,13,1,0,0,17.94259088,4.021927272,0
290,Semi_Remote,Cotton,9,1,1,0,14.74280008,0,1
291,Semi_Remote,Cotton,10,0,0,0,25.35434919,27.87721684,0
292,Remote,Rice,11,0,0,0,18.17158856,57.77182116,0
293,Semi_Remote,Maize,15,1,1,0,30.79047008,0,1
294,Urban_Near,Wheat,4,0,0,0,15.19417294,27.59094234,0
295,Remote,Pulses,16,0,0,1,35.40721866,54.24269499,0
296,Remote,Cotton,11,0,0,0,19.94971721,55.30795999,0
297,Remote,Maize,2,0,0,1,0.482257984,54.6343567,0
298,Urban_Near,Rice,11,1,1,0,17.00984616,0,1
299,Remote,Pulses,11,0,0,0,11.03651038,49.44853323,0
300,Remote,Rice,17,0,0,0,39.80025254,50.81716633,0
