StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,CreatedOn,year,month
TELANGANA,WARANGAL,SAKOLI,NA,AGRICULTURE,Others,Others,Market,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-03-08T13:47:00,2025,3
TELANGANA,KARIMNAGAR,MOHADI,NA,HORTICULTURE,Others,Others,Market,FARMER ASKED ABOUT MARKET INFORMATION OF SOYBEAN CROP FROM WARDHA MARKET ?,2025-02-06T16:30:00,2025,2
KARNATAKA,BELAGAVI,PUSAD,NA,AGRICULTURE,Others,Others,Nutrient Management,Farmer asked about irrigation schedule for Chilli?,2025-02-08T19:15:00,2025,2
MADHYA PRADESH,UJJAIN,UMARKHED,NA,HORTICULTURE,Others,Others,Weather,Farmer asked about post harvest management in turmeric seed storage ?,2025-01-14T18:29:00,2025,1
MADHYA PRADESH,UJJAIN,RALEGAON,NA,HORTICULTURE,Others,Others,Weather,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-01-19T05:01:00,2025,1
TELANGANA,WARANGAL,PUSAD,NA,HORTICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-01-01T12:53:00,2025,1
TELANGANA,WARANGAL,RALEGAON,NA,AGRICULTURE,Others,Others,Market,Farmer asked about crop insurance for Cotton?,2025-03-01T21:39:00,2025,3
MADHYA PRADESH,UJJAIN,PAUNI,NA,HORTICULTURE,Others,Others,Plant Protection,Farmer asked about weed management in Sesame?,2025-01-24T04:38:00,2025,1
MADHYA PRADESH,BHOPAL,PAUNI,NA,HORTICULTURE,Others,Others,Market,Farmer asked about crop insurance for Green gram?,2025-01-08T16:08:00,2025,1
TELANGANA,KARIMNAGAR,UMARKHED,NA,HORTICULTURE,Others,Others,Market,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-01-04T09:19:00,2025,1
KARNATAKA,MYSURU,RALEGAON,NA,AGRICULTURE,Others,Others,Weather,Farmer asked about government subsidy for Groundnut?,2025-02-02T21:21:00,2025,2
MADHYA PRADESH,INDORE,MOHADI,NA,AGRICULTURE,Others,Others,Plant Protection,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-03-04T12:31:00,2025,3
MAHARASHTRA,LATUR,RALEGAON,NA,HORTICULTURE,Others,Others,Government Schemes,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-03-02T01:05:00,2025,3
UTTAR PRADESH,MEERUT,PUSAD,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about post harvest management in turmeric seed storage ?,2025-03-18T22:10:00,2025,3
KARNATAKA,BELAGAVI,UMARKHED,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about government subsidy for Groundnut?,2025-02-25T01:03:00,2025,2
MADHYA PRADESH,UJJAIN,SAKOLI,NA,HORTICULTURE,Others,Others,Market,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-01-29T18:12:00,2025,1
MADHYA PRADESH,INDORE,MOHADI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-13T14:50:00,2025,2
MADHYA PRADESH,INDORE,MOHADI,NA,AGRICULTURE,Others,Others,Seeds,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-02-06T11:59:00,2025,2
KARNATAKA,MYSURU,PAUNI,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about irrigation schedule for Maize?,2025-02-16T01:33:00,2025,2
UTTAR PRADESH,MEERUT,PUSAD,NA,AGRICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT SOWING TIME TURMERIC CROP?,2025-02-07T20:21:00,2025,2
MADHYA PRADESH,BHOPAL,SAKOLI,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about crop insurance for Onion?,2025-02-09T04:07:00,2025,2
MAHARASHTRA,YAVATMAL,PUSAD,NA,HORTICULTURE,Others,Others,Plant Protection,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-03-14T17:09:00,2025,3
MAHARASHTRA,YAVATMAL,RALEGAON,NA,AGRICULTURE,Others,Others,Nutrient Management,Farmer asked about nutrient spray for flowering in Onion?,2025-03-07T10:42:00,2025,3
MADHYA PRADESH,BHOPAL,PUSAD,NA,AGRICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-01-14T01:34:00,2025,1
KARNATAKA,BELAGAVI,SAKOLI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked about weather impact on Turmeric?,2025-01-24T07:51:00,2025,1
TELANGANA,KARIMNAGAR,RALEGAON,NA,AGRICULTURE,Others,Others,Seeds,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-03-16T15:52:00,2025,3
UTTAR PRADESH,KANPUR,PAUNI,NA,HORTICULTURE,Others,Others,Market,Farmer asked about government subsidy for Sesame?,2025-01-01T02:42:00,2025,1
TELANGANA,WARANGAL,SAKOLI,NA,HORTICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-02-17T12:09:00,2025,2
KARNATAKA,HUBBALLI,SAKOLI,NA,AGRICULTURE,Others,Others,Nutrient Management,Farmer asked about crop insurance for Cotton?,2025-02-16T19:35:00,2025,2
UTTAR PRADESH,LUCKNOW,UMARKHED,NA,HORTICULTURE,Others,Others,Plant Protection,Farmer asked about irrigation schedule for Maize?,2025-02-21T13:54:00,2025,2
UTTAR PRADESH,MEERUT,UMARKHED,NA,HORTICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-01-26T05:45:00,2025,1
MAHARASHTRA,WARDHA,SAKOLI,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about fertilizer dose for Green gram?,2025-03-09T20:18:00,2025,3
TELANGANA,KARIMNAGAR,RALEGAON,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about disease management in Bengal gram?,2025-03-20T13:58:00,2025,3
KARNATAKA,HUBBALLI,MOHADI,NA,AGRICULTURE,Others,Others,Weather,FARMER ASKED ABOUT CONTROL BLIGHT ATTACK IN GREEN GRAM ?,2025-03-10T09:06:00,2025,3
KARNATAKA,MYSURU,PAUNI,NA,HORTICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT SOWING TIME TURMERIC CROP?,2025-01-10T08:23:00,2025,1
MADHYA PRADESH,UJJAIN,PAUNI,NA,HORTICULTURE,Others,Others,Plant Protection,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-20T00:33:00,2025,2
KARNATAKA,HUBBALLI,PAUNI,NA,HORTICULTURE,Others,Others,Market,Farmer asked about disease management in Green gram?,2025-02-18T02:29:00,2025,2
TELANGANA,KARIMNAGAR,RALEGAON,NA,HORTICULTURE,Others,Others,Nutrient Management,Farmer asked about storage method for Maize?,2025-01-28T15:40:00,2025,1
KARNATAKA,MYSURU,PAUNI,NA,AGRICULTURE,Others,Others,Market,Farmer asked about crop insurance for Turmeric?,2025-01-18T02:30:00,2025,1
UTTAR PRADESH,MEERUT,SAKOLI,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about storage method for Rice?,2025-01-06T13:06:00,2025,1
KARNATAKA,BELAGAVI,PAUNI,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about weather impact on Rice?,2025-03-08T12:00:00,2025,3
KARNATAKA,BELAGAVI,PAUNI,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about pest control in Soybean?,2025-01-09T04:48:00,2025,1
MADHYA PRADESH,INDORE,SAKOLI,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about irrigation schedule for Onion?,2025-03-21T04:33:00,2025,3
KARNATAKA,BELAGAVI,RALEGAON,NA,HORTICULTURE,Others,Others,Market,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-01-11T11:37:00,2025,1
MADHYA PRADESH,UJJAIN,UMARKHED,NA,HORTICULTURE,Others,Others,Weather,Farmer asked about irrigation schedule for Cotton?,2025-01-12T09:46:00,2025,1
MAHARASHTRA,LATUR,PAUNI,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about fertilizer dose for Pigeon pea?,2025-02-06T20:13:00,2025,2
KARNATAKA,BELAGAVI,PUSAD,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about disease management in Wheat?,2025-03-02T03:53:00,2025,3
KARNATAKA,BELAGAVI,UMARKHED,NA,HORTICULTURE,Others,Others,Weather,Farmer asked about market rate of Chilli?,2025-01-07T16:53:00,2025,1
TELANGANA,WARANGAL,PUSAD,NA,AGRICULTURE,Others,Others,Market,Farmer asked about weather impact on Soybean?,2025-02-02T19:06:00,2025,2
MAHARASHTRA,LATUR,UMARKHED,NA,HORTICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-02-26T18:08:00,2025,2
UTTAR PRADESH,LUCKNOW,MOHADI,NA,HORTICULTURE,Others,Others,Weather,Farmer asked about weather impact on Chilli?,2025-02-12T00:09:00,2025,2
MADHYA PRADESH,INDORE,SAKOLI,NA,HORTICULTURE,Others,Others,Weather,Farmer asked about irrigation schedule for Bengal gram?,2025-02-13T17:12:00,2025,2
UTTAR PRADESH,MEERUT,MOHADI,NA,AGRICULTURE,Others,Others,Seeds,FARMER ASKED ABOUT HARVESTIN TIME OF GROUNDNUT?,2025-03-21T09:27:00,2025,3
UTTAR PRADESH,MEERUT,UMARKHED,NA,AGRICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF TURMERIC CROP?,2025-01-22T00:04:00,2025,1
MADHYA PRADESH,BHOPAL,PAUNI,NA,AGRICULTURE,Others,Others,Plant Protection,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-04T04:25:00,2025,2
UTTAR PRADESH,KANPUR,RALEGAON,NA,AGRICULTURE,Others,Others,Weather,Farmer asked about weed management in Onion?,2025-02-13T19:28:00,2025,2
KARNATAKA,BELAGAVI,PAUNI,NA,AGRICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-16T05:59:00,2025,3
KARNATAKA,HUBBALLI,MOHADI,NA,HORTICULTURE,Others,Others,Weather,FARMER ASKED ABOUT CONTROL BLIGHT ATTACK IN GREEN GRAM ?,2025-02-21T13:55:00,2025,2
KARNATAKA,BELAGAVI,PUSAD,NA,HORTICULTURE,Others,Others,Market,Farmer asked about market rate of Sugarcane?,2025-02-20T18:23:00,2025,2
MAHARASHTRA,YAVATMAL,MOHADI,NA,AGRICULTURE,Others,Others,Seeds,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-01-31T14:34:00,2025,1
